station_event_id,original_event_id,catch_id,original_catch_id,specimen_id,original_specimen_id,verbatim_identification,species_recorded,common_name,scientific_name,scientific_name_id,lifestage,sex,taxonomic_rank,size_class_mm,number_measured,specimen_length,specimen_length_units,length_type,specimen_length2,specimen_length2_units,length_type2,specimen_weight,specimen_weight2,weight_units,weight_type,marks_scars,visceral_adhesion,comments
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-51,Sock-28,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,321,Millimeters,Fork Length,305,Millimeters,Standard length,323,304,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-52,Sock-29,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,321,Millimeters,Fork Length,308,Millimeters,Standard length,337,311,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-53,Sock-30,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,373,Millimeters,Fork Length,355,Millimeters,Standard length,546,508,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-54,Sock-31,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,343,Millimeters,Fork Length,325,Millimeters,Standard length,409,375,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-55,Sock-32,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,384,Millimeters,Fork Length,364,Millimeters,Standard length,579,542,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-56,Sock-33,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,343,Millimeters,Fork Length,321,Millimeters,Standard length,425,396,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-57,Sock-34,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,440,Millimeters,Fork Length,415,Millimeters,Standard length,853,797,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-58,Sock-35,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,385,Millimeters,Fork Length,365,Millimeters,Standard length,596,547,Grams,Wet weight,–,yes,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-59,Sock-36,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,male,species,1,1,380,Millimeters,Fork Length,359,Millimeters,Standard length,623,587,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-58,,IYS2022-TINRO-3-10-Trawl-58-60,Sock-37,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,immature,female,species,1,1,389,Millimeters,Fork Length,368,Millimeters,Standard length,681,629,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-59,,IYS2022-TINRO-3-10-Trawl-59-61,Sock-38,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,juvenile,male,species,1,1,258,Millimeters,Fork Length,245,Millimeters,Standard length,166,153,Grams,Wet weight,–,no,
IYS2022-TINRO-3-10-Trawl,,IYS2022-TINRO-3-10-Trawl-59,,IYS2022-TINRO-3-10-Trawl-59-62,Sock-39,Oncorhynchus nerka,,Sockeye Salmon,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,juvenile,female,species,1,1,247,Millimeters,Fork Length,235,Millimeters,Standard length,152,141,Grams,Wet weight,–,no,
