eventID,type,parentEventID,eventRemarks,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum
IYS:GoA2019:Stn5:bongo:Net2,bongo net cast,IYS:GoA2019:Stn5,cast,2019-02-22T07:00:00Z,2019,2,22,47.666666666666664,-140,250,0,POINT  ( -140   47.666666666666664 ),0,WGS84
IYS:GoA2019:Stn6:bongo:Net1,bongo net cast,IYS:GoA2019:Stn6,cast,2019-02-22T18:00:00Z,2019,2,22,47.666166666666669,-141.49850000000001,250,0,POINT  ( -141.49850000000001   47.666166666666669 ),0,WGS84
IYS:GoA2019:Stn6:bongo:Net2,bongo net cast,IYS:GoA2019:Stn6,cast,2019-02-22T18:00:00Z,2019,2,22,47.666166666666669,-141.49850000000001,250,0,POINT  ( -141.49850000000001   47.666166666666669 ),0,WGS84
IYS:GoA2019:Stn7:bongo:Net1,bongo net cast,IYS:GoA2019:Stn7,cast,2019-02-23T03:20:00Z,2019,2,23,47.666666666666664,-143,250,0,POINT  ( -143   47.666666666666664 ),0,WGS84
IYS:GoA2019:Stn7:bongo:Net2,bongo net cast,IYS:GoA2019:Stn7,cast,2019-02-23T03:20:00Z,2019,2,23,47.666666666666664,-143,250,0,POINT  ( -143   47.666666666666664 ),0,WGS84
IYS:GoA2019:Stn8:bongo:Net1,bongo net cast,IYS:GoA2019:Stn8,cast,2019-02-23T11:45:00Z,2019,2,23,47.670166666666667,-144.49549999999999,250,0,POINT  ( -144.49549999999999   47.670166666666667 ),0,WGS84
IYS:GoA2019:Stn8:bongo:Net2,bongo net cast,IYS:GoA2019:Stn8,cast,2019-02-23T11:45:00Z,2019,2,23,47.670166666666667,-144.49549999999999,250,0,POINT  ( -144.49549999999999   47.670166666666667 ),0,WGS84
IYS:GoA2019:Stn9:bongo:Net1,bongo net cast,IYS:GoA2019:Stn9,cast,2019-02-23T20:15:00Z,2019,2,23,47.666166666666669,-145.86566666666667,250,0,POINT  ( -145.86566666666667   47.666166666666669 ),0,WGS84
IYS:GoA2019:Stn9:bongo:Net2,bongo net cast,IYS:GoA2019:Stn9,cast,2019-02-23T20:15:00Z,2019,2,23,47.666166666666669,-145.86566666666667,250,0,POINT  ( -145.86566666666667   47.666166666666669 ),0,WGS84
IYS:GoA2019:Stn10:bongo:Net1,bongo net cast,IYS:GoA2019:Stn10,cast,2019-02-24T04:50:00Z,2019,2,24,47.666666666666664,-147.5,250,0,POINT  ( -147.5   47.666666666666664 ),0,WGS84
IYS:GoA2019:Stn10:bongo:Net2,bongo net cast,IYS:GoA2019:Stn10,cast,2019-02-24T04:50:00Z,2019,2,24,47.666666666666664,-147.5,250,0,POINT  ( -147.5   47.666666666666664 ),0,WGS84
IYS:GoA2019:Stn11:bongo:Net1,bongo net cast,IYS:GoA2019:Stn11,cast,2019-02-24T14:05:00Z,2019,2,24,48.667499999999997,-147.50066666666666,250,0,POINT  ( -147.50066666666666   48.667499999999997 ),0,WGS84
IYS:GoA2019:Stn11:bongo:Net2,bongo net cast,IYS:GoA2019:Stn11,cast,2019-02-24T14:05:00Z,2019,2,24,48.667499999999997,-147.50066666666666,250,0,POINT  ( -147.50066666666666   48.667499999999997 ),0,WGS84
IYS:GoA2019:Stn12:bongo:Net1,bongo net cast,IYS:GoA2019:Stn12,cast,2019-02-24T23:15:00Z,2019,2,24,49.666666666666664,-147.5,250,0,POINT  ( -147.5   49.666666666666664 ),0,WGS84
IYS:GoA2019:Stn12:bongo:Net2,bongo net cast,IYS:GoA2019:Stn12,cast,2019-02-24T23:15:00Z,2019,2,24,49.666666666666664,-147.5,250,0,POINT  ( -147.5   49.666666666666664 ),0,WGS84
IYS:GoA2019:Stn13:bongo:Net1,bongo net cast,IYS:GoA2019:Stn13,cast,2019-02-25T08:36:00Z,2019,2,25,50.666666666666664,-147.5,250,0,POINT  ( -147.5   50.666666666666664 ),0,WGS84
IYS:GoA2019:Stn13:bongo:Net2,bongo net cast,IYS:GoA2019:Stn13,cast,2019-02-25T08:36:00Z,2019,2,25,50.666666666666664,-147.5,250,0,POINT  ( -147.5   50.666666666666664 ),0,WGS84
IYS:GoA2019:Stn14:bongo:Net1,bongo net cast,IYS:GoA2019:Stn14,cast,2019-02-25T17:15:00Z,2019,2,25,51.665666666666667,-147.50133333333332,250,0,POINT  ( -147.50133333333332   51.665666666666667 ),0,WGS84
IYS:GoA2019:Stn14:bongo:Net2,bongo net cast,IYS:GoA2019:Stn14,cast,2019-02-25T17:15:00Z,2019,2,25,51.665666666666667,-147.50133333333332,250,0,POINT  ( -147.50133333333332   51.665666666666667 ),0,WGS84
IYS:GoA2019:Stn15:bongo:Net1,bongo net cast,IYS:GoA2019:Stn15,cast,2019-02-26T03:20:00Z,2019,2,26,52.666666666666664,-147.5,250,0,POINT  ( -147.5   52.666666666666664 ),0,WGS84
IYS:GoA2019:Stn15:bongo:Net2,bongo net cast,IYS:GoA2019:Stn15,cast,2019-02-26T03:20:00Z,2019,2,26,52.666666666666664,-147.5,250,0,POINT  ( -147.5   52.666666666666664 ),0,WGS84
